Method,SVHN_mean,SVHN_std,Places365_mean,Places365_std,CIFAR-100_mean,CIFAR-100_std,FMNIST_mean,FMNIST_std,ImageNet_mean,ImageNet_std,runtime_mean,runtime_std
EffCre_{0.95},0.885,0.003,0.862,0.005,0.854,0.003,0.907,0.002,0.826,0.004,1068.17,1.70
CreRL_{0.95},0.921,0.010,0.905,0.002,0.896,0.001,0.940,0.002,0.872,0.002,12675.84,412.68
CreWra,0.953,0.004,0.911,0.001,0.912,0.000,0.948,0.001,0.886,0.001,21363.34,33.99
CreEns_{0},0.949,0.001,0.907,0.001,0.909,0.002,0.941,0.002,0.883,0.001,21363.34,33.99
CreBNN,0.880,0.009,0.856,0.002,0.859,0.002,0.886,0.001,0.838,0.001,29796.67,12.94
CreNet,0.944,0.001,0.915,0.001,0.908,0.001,0.949,0.001,0.881,0.001,24996.65,180.12
